"CO001","CO002","CO003","CO004","CO005","CO006","CO007","CO008","CO009","CO010","CO011","CO012","CO013","CO014","CO015","CO016","CO017","CO018","CO019","CO020","CO021","CO022","CO023","CO024","CO025","CO026","CO027","CO028","CO029","CO030","CO031","CO032","CO033","CO034","CO035","CO036","CO037","CO038","CO039","CO040","CO041","CO042","CO043","CO044","CO045","CO046","CO047","CO048","CO049","CO050","CO051","CO052","CO053","ENTHA","TEMPE","Points:0","Points:1","Points:2"
1.1676e-126,1.2672e-129,1.1172e-128,0.1165,1.5741e-127,5.9851e-125,6.6507e-129,1.2698e-129,1.2622e-140,1.0387e-137,2.0958e-133,1.6863e-134,1.3789e-128,0.5,1.9666e-125,5.065e-125,4.3735e-133,2.8507e-127,1.6257e-134,1.9301e-129,3.9602e-128,5.1096e-138,8.4286e-127,2.6353e-134,7.8651e-127,3.6236e-131,7.9034e-127,1.6205e-133,1.2694e-127,1.3924e-129,6.4432e-133,1.5728e-133,3.5256e-132,7.9942e-129,7.0488e-134,4.1034e-127,4.8589e-128,3.0928e-130,1.9428e-131,6.0601e-138,3.2957e-128,4.6079e-133,2.4363e-138,5.9866e-129,2.5678e-131,1.7277e-128,8.3476e-134,0.3835,1.6617e-155,2.8127e-131,4.5385e-129,2.2651e-131,3.0069e-129,-2.322e+06,300,0.001204,0.00053691,0
1.1933e-126,1.2953e-129,1.142e-128,0.1165,1.609e-127,6.116e-125,6.7912e-129,1.2969e-129,1.2913e-140,1.0601e-137,2.139e-133,1.7209e-134,1.4083e-128,0.5,2.0097e-125,5.1757e-125,4.4661e-133,2.9125e-127,1.6593e-134,1.9703e-129,4.0452e-128,5.217e-138,8.6159e-127,2.6922e-134,8.0384e-127,3.7003e-131,8.0759e-127,1.6555e-133,1.2974e-127,1.4232e-129,6.5861e-133,1.6073e-133,3.6006e-132,8.1722e-129,7.2051e-134,4.1929e-127,4.9625e-128,3.1606e-130,1.9838e-131,6.1941e-138,3.3685e-128,4.7076e-133,2.4864e-138,6.1187e-129,2.6242e-131,1.7658e-128,8.5238e-134,0.3835,1.7007e-155,2.8743e-131,4.637e-129,2.3139e-131,3.0719e-129,-2.322e+06,300,0.001204,0,0
1.2338e-131,1.4564e-134,1.2837e-133,0.1165,1.8093e-132,6.4378e-130,7.1732e-134,1.3617e-134,1.2928e-145,1.1412e-142,2.2955e-138,1.85e-139,1.4777e-133,0.5,2.0853e-130,5.4822e-130,4.78e-138,3.0309e-132,1.776e-139,2.0971e-134,4.2322e-133,5.5156e-143,8.8411e-132,2.8082e-139,8.2891e-132,3.9007e-136,8.3696e-132,1.7238e-138,1.3381e-132,1.4656e-134,7.4041e-138,1.774e-138,3.7881e-137,8.3758e-134,8.1023e-139,4.5297e-132,5.2113e-133,3.283e-135,2.1285e-136,6.9379e-143,3.4674e-133,4.9044e-138,2.6787e-143,6.3035e-134,2.7103e-136,1.8202e-133,9.0144e-139,0.3835,1.6887e-160,2.9736e-136,4.8193e-134,2.4143e-136,3.2013e-134,-2.322e+06,300,0.00053512,0.0012081,0
4.2841e-135,5.5714e-138,4.9089e-137,0.1165,6.9216e-136,2.2807e-133,2.5279e-137,4.7767e-138,4.4022e-149,4.0856e-146,8.1921e-142,6.611e-143,5.18e-137,0.5,7.2662e-134,1.956e-133,1.7125e-141,1.0562e-135,6.3211e-143,7.4306e-138,1.4806e-136,1.9433e-146,3.0503e-135,9.8007e-143,2.8698e-135,1.3718e-139,2.908e-135,6.0085e-142,4.6332e-136,5.0692e-138,2.8318e-141,6.6378e-142,1.331e-140,2.8873e-137,3.0999e-142,1.6525e-135,1.828e-136,1.1451e-138,7.6394e-140,2.6414e-146,1.1989e-136,1.7104e-141,9.5955e-147,2.1808e-137,9.3933e-140,6.3001e-137,3.1804e-142,0.3835,5.6919e-164,1.0318e-139,1.6777e-137,8.4277e-140,1.1165e-137,-2.322e+06,300,0,0.0012081,0
5.1738e-135,6.7707e-138,5.9653e-137,0.1165,8.4116e-136,2.7553e-133,3.0383e-137,5.7472e-138,5.3474e-149,4.897e-146,9.8205e-142,7.9227e-143,6.2328e-137,0.5,8.7737e-134,2.3636e-133,2.0612e-141,1.273e-135,7.5781e-143,8.9162e-138,1.7826e-136,2.3342e-146,3.6878e-135,1.1807e-142,3.4659e-135,1.649e-139,3.5082e-135,7.2416e-142,5.5955e-136,6.1241e-138,3.4413e-141,8.0473e-142,1.6011e-140,3.4917e-137,3.7673e-142,1.9989e-135,2.199e-136,1.3825e-138,9.1911e-140,3.208e-146,1.4486e-136,2.0613e-141,1.15e-146,2.6345e-137,1.1341e-139,7.6095e-137,3.8227e-142,0.3835,6.9299e-164,1.2453e-139,2.0228e-137,1.0153e-139,1.3454e-137,-2.322e+06,300,0,0,0
1.2265e-127,1.352e-130,1.1919e-129,0.1165,1.6795e-128,6.307e-126,7.0097e-130,1.3371e-130,1.3186e-141,1.0982e-138,2.2146e-134,1.7823e-135,1.4518e-129,0.5,2.0671e-126,5.3434e-126,4.6207e-134,2.9975e-128,1.717e-135,2.0367e-130,4.1677e-129,5.3859e-139,8.8434e-128,2.7721e-135,8.2585e-128,3.8179e-132,8.3051e-128,1.7041e-134,1.3329e-128,1.4618e-130,6.8741e-134,1.672e-134,3.7136e-133,8.386e-130,7.5206e-135,4.3444e-128,5.1164e-129,3.2515e-131,2.0535e-132,6.4606e-139,3.4596e-129,4.8461e-134,2.576e-139,6.2851e-130,2.6969e-132,1.814e-129,8.8001e-135,0.3835,1.7345e-156,2.9549e-132,4.7713e-130,2.3827e-132,3.1625e-130,-2.322e+06,300,0.0010702,0.00053691,0
1.2585e-127,1.3877e-130,1.2234e-129,0.1165,1.7238e-128,6.471e-126,7.1865e-130,1.3711e-130,1.3544e-141,1.1252e-138,2.2693e-134,1.8262e-135,1.4887e-129,0.5,2.1209e-126,5.4822e-126,4.7376e-134,3.0748e-128,1.7595e-135,2.0874e-130,4.2742e-129,5.5212e-139,9.0762e-128,2.8432e-135,8.4742e-128,3.9143e-132,8.5204e-128,1.748e-134,1.3677e-128,1.5e-130,7.0556e-134,1.7157e-134,3.8078e-133,8.6072e-130,7.7192e-135,4.4572e-128,5.2464e-129,3.3361e-131,2.1053e-132,6.6307e-139,3.5502e-129,4.9708e-134,2.6395e-139,6.4496e-130,2.7672e-132,1.8614e-129,9.0219e-135,0.3835,1.7823e-156,3.0317e-132,4.8944e-130,2.4439e-132,3.2438e-130,-2.322e+06,300,0.0010702,0,0
1.2723e-132,1.5306e-135,1.349e-134,0.1165,1.9014e-133,6.6647e-131,7.4212e-135,1.4074e-135,1.327e-146,1.1846e-143,2.3811e-139,1.9196e-140,1.5271e-134,0.5,2.1519e-131,5.6831e-131,4.9607e-139,3.1282e-133,1.8413e-140,2.1721e-135,4.3717e-134,5.7062e-144,9.1052e-133,2.8993e-140,8.5431e-133,4.0339e-137,8.6328e-133,1.7792e-139,1.3791e-133,1.5102e-135,7.7808e-139,1.8562e-139,3.9166e-138,8.6244e-135,8.5152e-140,4.7162e-133,5.3862e-134,3.3886e-136,2.2098e-137,7.2843e-144,3.5727e-134,5.0627e-139,2.7807e-144,6.4957e-135,2.794e-137,1.8759e-134,9.3282e-140,0.3835,1.7303e-161,3.0662e-137,4.973e-135,2.4928e-137,3.3047e-135,-2.322e+06,300,0.00040134,0.0012081,0
4.4379e-135,5.7773e-138,5.0903e-137,0.1165,7.1774e-136,2.3626e-133,2.6159e-137,4.9442e-138,4.5662e-149,4.2251e-146,8.4723e-142,6.8366e-143,5.3616e-137,0.5,7.5268e-134,2.0263e-133,1.7725e-141,1.0936e-135,6.5374e-143,7.6864e-138,1.5327e-136,2.0106e-146,3.1606e-135,1.0147e-142,2.9729e-135,1.4196e-139,3.0117e-135,6.2215e-142,4.7996e-136,5.2517e-138,2.9365e-141,6.8801e-142,1.3776e-140,2.9919e-137,3.2145e-142,1.7121e-135,1.892e-136,1.1861e-138,7.9065e-140,2.7387e-146,1.2421e-136,1.7711e-141,9.923e-147,2.2593e-137,9.7301e-140,6.5266e-137,3.2911e-142,0.3835,5.907e-164,1.0688e-139,1.7374e-137,8.7256e-140,1.1561e-137,-2.322e+06,300,0,0.0010738,0
1.7718e-134,2.2449e-137,1.9781e-136,0.1165,2.7889e-135,9.372e-133,1.036e-136,1.9624e-137,1.841e-148,1.6615e-145,3.3355e-141,2.6898e-142,2.1287e-136,0.5,3.0012e-133,8.0204e-133,6.9883e-141,4.3555e-135,2.5761e-142,3.0353e-137,6.0917e-136,7.96e-146,1.2655e-134,4.0379e-142,1.1881e-134,5.6265e-139,1.2014e-134,2.4774e-141,1.9181e-135,2.1e-137,1.1411e-140,2.6876e-141,5.4641e-140,1.1985e-136,1.249e-141,6.7325e-135,7.5089e-136,4.7275e-138,3.1144e-139,1.0653e-145,4.9675e-136,7.0506e-141,3.9013e-146,9.0328e-137,3.8864e-139,2.6087e-136,1.3029e-141,0.3835,2.3945e-163,4.2661e-139,6.9229e-137,3.4719e-139,4.602e-137,-2.322e+06,300,0.00013378,0,0
